"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Domain","Phylum","Class","Order","Family","Genus"
"ASV_1z6_4ul",18.011685236331,8.10766615241825,2.29688314397154,3.52985574111501,0.000415786310404599,0.0205814223650277,"Bacteria","Firmicutes","Negativicutes","Acidaminococcales","Acidaminococcaceae","OTU_4tu_e1b"
"ASV_f8c_ir4",18.5682504631491,7.35698091677709,1.63619397935779,4.49639896588834,6.91139975747978e-06,0.000684228575990499,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","OTU_3os_wud"
